group,community,count
part-00000-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,AUSTIN,22
part-00001-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,SOUTH LAWNDALE,21
part-00002-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,NORTH LAWNDALE,20
part-00003-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,NEAR WEST SIDE,18
part-00004-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,WEST TOWN,17
part-00005-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,HUMBOLDT PARK,16
part-00006-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,ENGLEWOOD,15
part-00007-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,BELMONT CRAGIN,14
part-00008-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,NEW CITY,13
part-00009-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,BRIGHTON PARK,12
part-00009-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,ROSELAND,12
part-00009-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,EAST GARFIELD PARK,12
part-00010-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,AUBURN GRESHAM,11
part-00010-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,SOUTH SHORE,11
part-00010-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,IRVING PARK,11
part-00010-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,GAGE PARK,11
part-00010-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,LOWER WEST SIDE,11
part-00011-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,GREATER GRAND CROSSING,10
part-00011-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,WASHINGTON HEIGHTS,10
part-00011-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,LOGAN SQUARE,10
part-00011-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,WEST ENGLEWOOD,10
part-00012-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,DOUGLAS,9
part-00012-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,CHATHAM,9
part-00012-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,LAKE VIEW,9
part-00012-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,CHICAGO LAWN,9
part-00012-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,WEST RIDGE,9
part-00012-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,SOUTH CHICAGO,9
part-00013-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,ALBANY PARK,8
part-00013-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,ASHBURN,8
part-00013-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,AVONDALE,8
part-00013-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,WEST PULLMAN,8
part-00014-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,FALSE,7
part-00014-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,NORWOOD PARK,7
part-00014-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,PULLMAN,7
part-00014-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,WOODLAWN,7
part-00014-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,MORGAN PARK,7
part-00015-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,LINCOLN PARK,6
part-00015-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,ARCHER HEIGHTS,6
part-00015-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,NORTH CENTER,6
part-00015-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,UPTOWN,6
part-00015-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,GRAND BOULEVARD,6
part-00015-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,WEST GARFIELD PARK,6
part-00015-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,NORTH PARK,6
part-00015-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,PORTAGE PARK,6
part-00016-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,HERMOSA,5
part-00016-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,WASHINGTON PARK,5
part-00016-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,GARFIELD RIDGE,5
part-00016-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,LINCOLN SQUARE,5
part-00016-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,BRIDGEPORT,5
part-00016-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,KENWOOD,5
part-00016-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,EAST SIDE,5
part-00016-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,EDGEWATER,5
part-00016-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,ROGERS PARK,5
part-00016-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,RIVERDALE,5
part-00016-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,AVALON PARK,5
part-00016-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,WEST LAWN,5
part-00016-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,CALUMET HEIGHTS,5
part-00016-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,DUNNING,5
part-00017-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,WEST ELSDON,4
part-00017-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,TRUE,4
part-00017-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,CLEARING,4
part-00017-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,MCKINLEY PARK,4
part-00017-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,NEAR NORTH SIDE,4
part-00018-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,LOOP,3
part-00018-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,BEVERLY,3
part-00018-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,FOREST GLEN,3
part-00018-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,SOUTH DEERING,3
part-00018-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,MOUNT GREENWOOD,3
part-00018-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,NEAR SOUTH SIDE,3
part-00018-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,HYDE PARK,3
part-00019-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,EDISON PARK,2
part-00019-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,JEFFERSON PARK,2
part-00019-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,ARMOUR SQUARE,2
part-00019-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,2004-09-01,2
part-00019-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,HEGEWISCH,2
part-00020-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,MONTCLARE,1
part-00020-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,OAKLAND,1
part-00020-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,Schools that have their own processes for enrollment.,1
part-00020-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,FULLER PARK,1
part-00020-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,BURNSIDE,1
part-00020-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,School Year 2018-2019,1
part-00020-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,GOOD STANDING,1
part-00020-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,Neighborhood,1
part-00020-7e39997e-1e9a-486c-b98c-0850777d56bd-c000.csv,OHARE,1
